start_date,end_date,geography,geography_code,threshold_level,file_name,level,publication_date,proportion_pos,proportion_pos_low_95,proportion_pos_high_95
2020-12-07,2020-12-13,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.124,0.103,0.151
2020-12-14,2020-12-20,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.151,0.128,0.18
2020-12-21,2020-12-27,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.165,0.139,0.197
2020-12-28,2021-01-03,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.173,0.147,0.206
2021-01-04,2021-01-10,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.196,0.169,0.23
2021-01-11,2021-01-17,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.181,0.155,0.212
2021-01-18,2021-01-24,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.224,0.195,0.261
2021-01-25,2021-01-31,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.273,0.239,0.314
2021-02-01,2021-02-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.296,0.261,0.339
2021-02-08,2021-02-14,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.334,0.298,0.38
2021-02-15,2021-02-21,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.356,0.32,0.401
2021-02-22,2021-02-28,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.418,0.379,0.465
2021-03-01,2021-03-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.465,0.424,0.513
2021-03-08,2021-03-14,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.505,0.464,0.554
2021-03-15,2021-03-21,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.51,0.469,0.56
2021-03-22,2021-03-28,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.517,0.476,0.567
2021-03-29,2021-04-04,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.605,0.564,0.651
2021-04-05,2021-04-11,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.675,0.637,0.716
2021-04-12,2021-04-18,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.704,0.669,0.741
2021-04-19,2021-04-25,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.699,0.663,0.736
2021-04-26,2021-05-02,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.743,0.709,0.777
2021-05-03,2021-05-09,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.767,0.734,0.799
2021-05-10,2021-05-16,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.772,0.741,0.804
2021-05-17,2021-05-23,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,national,2021-06-09,0.803,0.773,0.832
2020-12-07,2020-12-13,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.123,0.103,0.146
2020-12-14,2020-12-20,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.148,0.126,0.173
2020-12-21,2020-12-27,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.162,0.138,0.19
2020-12-28,2021-01-03,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.169,0.145,0.198
2021-01-04,2021-01-10,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.192,0.166,0.222
2021-01-11,2021-01-17,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.177,0.153,0.205
2021-01-18,2021-01-24,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.219,0.191,0.25
2021-01-25,2021-01-31,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.266,0.234,0.302
2021-02-01,2021-02-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.289,0.256,0.325
2021-02-08,2021-02-14,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.326,0.292,0.365
2021-02-15,2021-02-21,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.348,0.312,0.388
2021-02-22,2021-02-28,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.409,0.371,0.449
2021-03-01,2021-03-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.456,0.417,0.498
2021-03-08,2021-03-14,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.497,0.457,0.539
2021-03-15,2021-03-21,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.501,0.46,0.545
2021-03-22,2021-03-28,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.508,0.467,0.55
2021-03-29,2021-04-04,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.596,0.557,0.638
2021-04-05,2021-04-11,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.668,0.631,0.705
2021-04-12,2021-04-18,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.698,0.664,0.733
2021-04-19,2021-04-25,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.693,0.658,0.728
2021-04-26,2021-05-02,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.74,0.708,0.771
2021-05-03,2021-05-09,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.764,0.735,0.794
2021-05-10,2021-05-16,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.771,0.741,0.8
2021-05-17,2021-05-23,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.803,0.776,0.829
2021-05-24,2021-05-30,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.829,0.804,0.852
2021-05-31,2021-06-06,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.843,0.821,0.865
2021-06-07,2021-06-10,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210622covid19infectionsurveydatasets.xlsx,national,2021-06-22,0.866,0.846,0.885
2020-12-07,2020-12-13,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.12,0.10099999999999999,0.142
2020-12-07,2020-12-13,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.12,0.10099999999999999,0.142
2020-12-14,2020-12-20,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.12300000000000001,0.105,0.145
2020-12-14,2020-12-20,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.12300000000000001,0.105,0.145
2020-12-21,2020-12-27,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.132,0.111,0.155
2020-12-21,2020-12-27,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.132,0.111,0.155
2020-12-28,2021-01-03,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.131,0.111,0.155
2020-12-28,2021-01-03,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.131,0.111,0.155
2021-01-04,2021-01-10,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.151,0.13,0.17600000000000002
2021-01-04,2021-01-10,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.151,0.13,0.17600000000000002
2021-01-11,2021-01-17,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.161,0.139,0.187
2021-01-11,2021-01-17,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.161,0.139,0.187
2021-01-18,2021-01-24,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.179,0.155,0.207
2021-01-18,2021-01-24,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.179,0.155,0.207
2021-01-25,2021-01-31,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.203,0.177,0.23399999999999999
2021-01-25,2021-01-31,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.203,0.177,0.23399999999999999
2021-02-01,2021-02-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets21.xlsx,national,2021-07-07,0.231,0.20199999999999999,0.263
2021-02-01,2021-02-07,England,E92000001,standard,/Users/eidesfun/code/inc2prev/data-processed/ab/20210707covid19infectionsurveydatasets3.xlsx,national,2021-07-07,0.231,0.20199999999999999,0.263
