start_date,end_date,geography,geography_code,threshold_level,file_name,level,lower_age_limit,publication_date,proportion_pos,proportion_pos_low_95,proportion_pos_high_95
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,16,2021-06-09,0.275,0.191,0.384
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,25,2021-06-09,0.143,0.097,0.207
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,35,2021-06-09,0.111,0.079,0.155
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,50,2021-06-09,0.114,0.082,0.157
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,60,2021-06-09,0.1,0.066,0.152
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,65,2021-06-09,0.078,0.052,0.118
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,70,2021-06-09,0.061,0.039,0.094
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,75,2021-06-09,0.064,0.038,0.104
2020-12-07,2020-12-13,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,80,2021-06-09,0.021,0.011,0.04
2020-12-14,2020-12-20,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,16,2021-06-09,0.318,0.234,0.419
2020-12-14,2020-12-20,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,25,2021-06-09,0.195,0.141,0.265
2020-12-14,2020-12-20,England,E92000001,standard,/home/sebfunk/code/inc2prev/data-processed/ab/20210609covid19infectionsurveydatasets.xlsx,age_school,35,2021-06-09,0.137,0.101,0.188
