name,date,variable,level,q5,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95
cumulative_exposure,2021-03-21,East of England,variant_regional,4.1112319864833326e-5,4.441374366254136e-5,4.64201475511461e-5,4.893204276299468e-5,4.99854756768614e-5,5.314697764657872e-5,5.5097227087957946e-5,5.674412999079337e-5,5.8108686607089015e-5,6.057121548719291e-5,6.327553299758093e-5,6.551649269679329e-5,6.952458800661976e-5,7.385547124418861e-5,7.785144440941583e-5,8.136045005893155e-5,8.69341109628441e-5,9.307011870768322e-5,1.1906046094421472e-4
cumulative_exposure,2021-03-21,London,variant_regional,1.8489870220207984e-4,1.9612026543495143e-4,2.070202679536781e-4,2.1536900474308231e-4,2.198405814995974e-4,2.3419616974504895e-4,2.4192333119468226e-4,2.5385117432426e-4,2.597627055315632e-4,2.6460448602760867e-4,2.729466432612071e-4,2.81144671355249e-4,2.9333526876884066e-4,2.995066389282042e-4,3.105935057552134e-4,3.139960896883842e-4,3.296883256622863e-4,3.685802572875763e-4,4.2717338038852356e-4
cumulative_exposure,2021-03-21,North East,variant_regional,2.0122404504300251e-4,2.4441592508102073e-4,2.749446941650913e-4,3.008633289794283e-4,3.208660112584416e-4,3.504370761659659e-4,3.668285019605533e-4,3.8475435816760496e-4,4.0457318633397297e-4,4.3214705109306806e-4,4.635249881544401e-4,4.804687378369366e-4,4.947451728163854e-4,5.243863549814988e-4,5.636748255034019e-4,5.96282143226845e-4,6.696431195941767e-4,7.364450905705817e-4,8.85598960235262e-4
cumulative_exposure,2021-03-21,North West,variant_regional,4.3856748826121e-6,6.067518592245413e-6,8.328276819719039e-6,9.973222259129777e-6,1.13203609242718e-5,1.2687009511136437e-5,1.5238178886123334e-5,1.7675283538398658e-5,2.3783882050038006e-5,1.87804347595244e-4,4.96998361960388e-4,5.394000646934628e-4,5.682734712227134e-4,5.979754408245386e-4,6.38698944932542e-4,6.808756987163324e-4,7.445526328585361e-4,8.207771570237671e-4,9.552481991676627e-4
cumulative_exposure,2021-03-21,South East,variant_regional,2.717546807418092e-6,3.268770657582909e-6,3.925996293241418e-6,4.099283597858161e-6,4.220226094864277e-6,4.564716581534344e-6,4.8471737516153645e-6,5.197588491356875e-6,5.796001203073331e-6,4.488479786379784e-5,1.1104073451141948e-4,1.260430557160186e-4,1.3296855889695093e-4,1.461699161171226e-4,1.5393415088515996e-4,1.6489500332006468e-4,1.7665989376712267e-4,2.0706715752643058e-4,2.688503026291477e-4
cumulative_exposure,2021-03-21,South West,variant_regional,1.810328361206981e-6,2.2745434132609436e-6,2.640327014280519e-6,2.947205656389507e-6,3.1246151183661475e-6,3.4391880857409513e-6,3.754802950711733e-6,4.1705953028214894e-6,5.266358125993741e-6,1.985908742663245e-5,4.2930213471759066e-5,4.676244648011975e-5,5.338493968297113e-5,6.287222345868759e-5,6.626260453490573e-5,7.25509880433517e-5,8.06869496287388e-5,9.619951235451124e-5,1.1857866898893343e-4
cumulative_exposure,2021-03-21,West Midlands,variant_regional,1.935597126362376e-6,2.267341429396108e-6,2.6140765833071455e-6,2.856251920912989e-6,3.021485435211746e-6,3.188960915223582e-6,3.39137774917897e-6,3.662229293976971e-6,4.398603824157242e-6,1.2342066518494788e-4,3.297338748592005e-4,3.560541944612306e-4,3.956115248638426e-4,4.3046462162817936e-4,4.531652878400628e-4,4.786528051604178e-4,4.980992573493714e-4,5.312796176976333e-4,6.024738394855843e-4
cumulative_exposure,2021-03-21,Yorkshire and The Humber,variant_regional,2.7726706558928173e-6,3.1663849869190132e-6,3.5749676097707185e-6,3.940660235568494e-6,4.593421949972143e-6,5.459455096168408e-6,6.156015551184169e-6,6.9320499722636e-6,9.27495348734264e-6,1.0399765155294505e-4,2.3754463177256266e-4,2.543804394354421e-4,2.730364187700174e-4,2.7839883928784117e-4,2.957567551990503e-4,3.2409007122709006e-4,3.4835041189301696e-4,3.723309676103681e-4,4.031254716028275e-4
cumulative_exposure,2021-03-21,England,variant_national,3.0387140625170447e-4,3.2823181955521363e-4,3.3803865136674e-4,3.463126192812638e-4,3.5674385175174517e-4,3.6107919473373775e-4,3.6905328216293445e-4,3.8092323009222275e-4,3.8605571113260463e-4,3.951149214391769e-4,3.9917240926475305e-4,4.080115388077177e-4,4.151396052576084e-4,4.298203007353507e-4,4.386277739742983e-4,4.5832233821387904e-4,4.710103356857343e-4,4.932618035222603e-4,5.320140801896189e-4
cumulative_exposure,2021-03-21,Northern Ireland,variant_national,2.321257558208778e-5,2.7295987456954497e-5,3.236881611214937e-5,3.571960203312408e-5,3.876739852495814e-5,4.555015256021422e-5,5.125926114787905e-5,6.155114557291342e-5,7.410719382583975e-5,9.458757555469433e-5,1.1859621652713371e-4,1.3510607212301466e-4,1.5505077784094828e-4,1.7817952412776397e-4,1.9696684702449912e-4,2.1771209717820207e-4,2.362528878613768e-4,2.56047814155469e-4,2.838063691118386e-4
